,Unnamed: 0,Delhi,Mumbai,Chennai,Kolkata,Mean,month,year,merge_col,import_bbl_usd,INR,price_rs_lit_crude,type,Date
53,9,63.06064516129034,67.15516129032258,66.49387096774196,65.75064516129032,65.6150806451613,March,2018,2018 March,63.8,65.05,26.101823899371063,Diesel,2018-03-31
54,10,65.27206896551726,69.50344827586208,68.85965517241377,67.96724137931037,67.90060344827585,April,2018,2018 April,69.22,65.7,28.60222641509434,Diesel,2018-04-30
55,11,67.14258064516129,71.48903225806454,70.86032258064513,69.75419354838708,69.81153225806453,May,2018,2018 May,75.25,67.55,31.96941823899371,Diesel,2018-05-31
56,12,67.99517241379313,72.3289655172414,71.77517241379309,70.5451724137931,70.66112068965516,June,2018,2018 June,73.83,67.79,31.477583018867925,Diesel,2018-06-30
57,13,67.96099999999998,72.12633333333335,71.75233333333334,70.56733333333334,70.60175000000002,July,2018,2018 July,73.47,68.72,31.75382641509434,Diesel,2018-07-31
58,14,68.8658064516129,73.11032258064515,72.74290322580646,71.6916129032258,71.60266129032259,August,2018,2018 August,72.53,69.64,31.767227672955972,Diesel,2018-08-31
59,15,73.09724137931033,77.60275862068967,77.26999999999997,75.32655172413793,75.82413793103447,September,2018,2018 September,77.88,72.23,35.37907169811321,Diesel,2018-09-30
60,16,74.69580645161292,78.45870967741936,78.98,76.5458064516129,77.17008064516129,October,2018,2018 October,80.08,73.62,37.07855094339622,Diesel,2018-10-31
61,17,71.49620689655174,74.9003448275862,75.55655172413793,73.35310344827586,73.82655172413793,November,2018,2018 November,65.4,71.75,29.5122641509434,Diesel,2018-11-30
62,18,64.7348387096774,67.74193548387096,68.34032258064516,66.51387096774194,66.83274193548387,December,2018,2018 December,57.77,70.82,25.731266666666663,Diesel,2018-12-31
63,19,64.32100000000001,67.33099999999999,67.92699999999999,66.09433333333335,66.41833333333334,January,2019,2019 January,59.27,70.77,26.380741509433964,Diesel,2019-01-31
64,20,65.98666666666666,69.10259259259259,69.71222222222221,67.76925925925927,68.14268518518519,February,2019,2019 February,64.53,71.23,28.9086283018868,Diesel,2019-02-28
65,21,67.01322580645162,70.19806451612904,70.81709677419354,68.80225806451612,69.20766129032256,March,2019,2019 March,66.74,69.51,29.176713207547166,Diesel,2019-03-31
66,22,66.31344827586207,69.40517241379311,70.01758620689655,68.05344827586208,68.44741379310348,April,2019,2019 April,71.0,69.41,30.99440251572327,Diesel,2019-04-30
67,23,66.3841935483871,69.54354838709678,70.15806451612903,68.13548387096775,68.55532258064517,May,2019,2019 May,70.01,69.81,30.73835283018868,Diesel,2019-05-31
68,24,64.42310344827585,67.54758620689654,68.1448275862069,66.34,66.61387931034486,June,2019,2019 June,62.37,69.43,27.234900000000003,Diesel,2019-06-30
