,index,INR
453,2020-02-21,71.9877789094
454,2020-12-21,74.0440318738
455,2020-06-02,75.2094147127
456,2017-11-10,65.1621760769
457,2017-12-21,64.0252129185
458,2018-06-27,68.6070936639
459,2019-07-26,68.8992637816
460,2018-11-19,71.657040343
461,2018-05-15,68.0568879912
462,2019-08-09,70.8104125737
463,2021-01-26,72.9272008565
464,2019-05-02,69.3738851231
465,2019-07-08,68.5648684797
466,2017-07-14,64.3845816908
467,2018-11-01,73.4486087949
468,2020-10-30,74.4670029065
469,2017-07-24,64.3977506868
470,2017-12-15,64.0424360495
471,2019-09-13,70.9638608508
472,2017-08-02,63.6801082086
473,2018-12-19,70.2463831653
474,2020-10-14,73.2761702128
475,2019-07-15,68.5247138167
476,2020-11-12,74.6891697057
477,2017-09-29,65.2795188887
478,2019-07-04,68.5094790928
479,2019-04-03,68.425242373
480,2018-12-24,70.1428821879
481,2019-01-10,70.3948851322
482,2020-11-06,74.1436394271
483,2020-05-06,75.8596280189
484,2019-04-09,69.3340427419
485,2017-11-03,64.5226044437
486,2018-03-26,64.8702763677
487,2018-12-17,71.6100872939
488,2021-02-01,73.1090698444
489,2020-04-28,75.8683460513
490,2020-05-11,75.8462675536
491,2019-10-21,70.8574241475
492,2020-07-06,74.5726269316
493,2020-06-05,75.5781112092
494,2017-11-15,65.2153716216
495,2018-04-30,66.3701465353
496,2018-04-16,65.4951495554
497,2018-02-06,64.272447076
498,2018-07-13,68.4806321395
499,2017-12-28,64.0799396682
500,2020-05-21,75.5040909091
501,2019-09-25,71.0448916409
502,2019-07-18,68.8993402282
503,2017-07-20,64.4405746626
504,2019-09-26,70.9087584568
505,2018-01-09,63.712286289
506,2019-10-25,70.9025839561
507,2019-01-30,71.1794557704
508,2018-05-25,67.7948608137
509,2018-11-13,72.6747180535
510,2019-02-22,71.1284768212
511,2017-07-19,64.2950663314
512,2018-05-21,68.1418487967
513,2017-09-12,64.0563982234
514,2018-03-05,65.1072560332
515,2019-05-28,69.6055218013
516,2018-05-22,68.009581143
517,2020-08-27,73.9162290361
518,2017-12-18,64.234421365
519,2020-04-02,76.4038144141
520,2018-02-26,64.7751623377
521,2020-12-29,73.3681376948
522,2017-11-24,64.6800538857
523,2017-08-25,64.0222730352
524,2018-10-29,73.4201739742
525,2019-07-29,68.7777677849
526,2019-09-18,71.208721614
527,2018-02-19,64.2526188558
528,2020-06-03,75.4917813114
529,2017-11-09,64.969905417
530,2019-09-24,70.9474688721
531,2019-06-05,69.332415386
532,2019-04-25,70.2858940933
533,2019-12-31,71.3788499199
534,2017-10-04,65.0216340036
535,2021-02-17,72.7976782753
536,2018-06-22,67.8485576923
537,2018-07-10,68.8269444207
538,2020-01-07,71.8447905478
539,2020-05-19,75.6652968037
540,2017-11-14,65.4022988506
541,2018-01-03,63.4995425435
542,2019-10-11,71.0744362945
543,2018-08-28,70.1080273271
544,2020-11-23,74.0307537182
545,2020-08-06,74.9514481128
546,2019-11-13,72.0688715246
547,2020-12-10,73.6702434998
548,2019-02-26,71.167150779
549,2018-10-16,73.4616380426
550,2020-11-30,74.0669449082
551,2020-07-31,74.8105165429
552,2019-02-27,71.2792025294
553,2018-12-21,70.124408621
554,2021-01-05,73.2352701491
555,2017-07-21,64.3398900533
556,2018-09-24,72.6802853988
557,2019-06-11,69.4483215548
558,2017-08-17,64.1698726169
559,2020-06-24,75.6458333333
560,2018-02-14,64.072319404
561,2018-07-02,68.7949995704
562,2017-09-19,64.3312729703
563,2019-10-03,70.9665783947
564,2020-09-23,73.5413102976
565,2017-06-26,64.4480200232
566,2020-11-19,74.2030087897
567,2019-12-05,71.2272399495
568,2019-05-20,69.6570251634
569,2017-08-18,64.145229983
570,2018-08-30,70.7449538146
571,2018-09-14,71.8162374882
572,2018-09-20,72.0120655961
573,2018-04-05,64.927406199
574,2020-02-03,71.3930056027
575,2020-05-05,75.7571705248
576,2019-07-19,68.8174772849
577,2020-12-15,73.5914332784
578,2020-07-17,74.9649982499
579,2020-09-02,73.199983138
580,2021-02-03,72.9121244903
581,2020-04-21,76.9364215189
582,2021-02-23,72.5170880343
583,2020-08-20,75.0987341772
584,2018-08-29,70.6179245283
585,2020-12-18,73.5108899584
586,2020-08-05,74.8346549688
587,2018-07-03,68.5220745821
588,2018-09-25,72.6946590813
589,2017-07-04,64.7379547256
590,2019-09-16,71.6004895295
591,2019-12-27,71.4041065184
592,2021-01-28,73.0468943843
593,2018-09-04,71.5849334025
594,2018-01-05,63.3698630137
595,2019-11-28,71.6124488869
596,2020-06-25,75.6357142857
597,2017-09-05,64.1274179983
598,2020-09-17,73.6297363737
599,2020-05-28,75.7657044299
600,2020-12-23,73.80774289
601,2019-06-20,69.4317679314
602,2018-09-28,72.4913614375
603,2017-12-01,64.4972654607
604,2018-08-06,68.8642467296
605,2018-09-10,72.4548440066
606,2019-12-13,70.7544299266
607,2018-10-26,73.4596738651
608,2017-11-20,65.1027077498
609,2018-02-07,64.2450153996
610,2019-01-15,71.1055672269
611,2019-01-14,70.8289003227
612,2020-11-10,74.2433096206
613,2019-09-06,71.7153350866
614,2020-10-16,73.3084916106
615,2019-07-25,68.9833558255
616,2021-03-02,73.3779514466
617,2020-03-12,74.2597864769
618,2019-12-06,71.2488732648
619,2017-10-05,65.1477601771
620,2020-05-08,75.5893202988
621,2017-12-07,64.5774647887
622,2020-01-23,71.3159318366
623,2019-06-18,69.7242334853
624,2018-07-27,68.6851612903
625,2017-11-13,65.4521276596
626,2020-03-26,75.1611875057
627,2019-04-23,69.6420631392
628,2021-01-14,73.1297426592
629,2020-07-29,74.7923240938
630,2017-09-15,64.083005935
631,2019-01-24,71.1189489463
632,2020-12-28,73.5039692283
633,2020-03-18,74.2047740991
634,2019-09-20,70.9814143246
635,2018-05-28,67.4407420131
636,2019-03-15,69.0431552883
637,2020-01-31,71.3947701773
638,2020-01-17,71.0809326611
639,2018-07-19,69.0503106662
640,2021-01-29,72.867501648
641,2019-01-02,70.1811880319
642,2018-07-12,68.5199004975
643,2020-03-25,76.3821926665
644,2019-07-23,68.9295623378
645,2018-09-21,72.19193809
646,2020-11-03,74.4056571526
647,2020-04-03,76.2318034307
648,2020-08-07,75.0046543116
649,2021-01-15,73.1143281366
650,2018-04-09,64.9825260078
651,2020-07-20,74.803895877
652,2020-09-11,73.5980259828
653,2017-11-30,64.4674656089
654,2017-06-16,64.4322557536
655,2018-07-04,68.7399072324
656,2019-01-18,71.1169093142
657,2018-05-23,68.4194567817
658,2018-08-01,68.3742305062
659,2019-08-02,69.6380334954
660,2019-05-21,69.6917838903
661,2018-04-17,65.6372906045
662,2020-01-10,70.9507708953
663,2018-10-15,73.8049391244
664,2017-09-04,64.039899202
665,2017-07-13,64.4499430674
666,2019-05-08,69.7022853062
667,2018-05-14,67.5296129463
668,2019-09-19,71.323303515
669,2019-10-24,71.0118619698
670,2020-07-08,75.0004430268
671,2017-09-27,65.7124606081
672,2019-10-07,70.9938142454
673,2018-08-07,68.6821237718
674,2017-08-28,63.9048218029
675,2019-10-23,70.8662231412
676,2019-11-21,71.7406004869
677,2017-10-20,65.009984769
678,2020-02-07,71.4399671802
679,2019-01-07,69.628221931
680,2020-12-09,73.6741266826
681,2017-07-27,64.1551222849
682,2019-08-13,71.4547317769
683,2020-02-04,71.245474294
684,2018-03-19,65.1925420424
685,2019-09-09,71.6772410043
686,2020-07-15,75.1232086683
687,2018-06-13,67.6079564774
688,2017-10-09,65.3520347352
689,2018-10-08,74.0616832201
690,2019-01-23,71.3059734319
691,2019-08-01,69.1057352541
692,2018-02-12,64.3349914377
693,2017-08-22,64.0994817772
694,2019-04-29,69.832735426
695,2018-09-19,72.3849318591
696,2017-08-10,64.1050119332
697,2019-01-29,71.1836806164
698,2018-05-02,66.6656950112
699,2019-08-07,70.8819853598
700,2020-07-10,75.2403334516
701,2019-10-16,71.4448979592
702,2019-01-11,70.5345530218
703,2021-03-09,73.000672608
704,2018-12-10,72.4099781182
705,2018-01-30,63.6478544401
706,2020-09-04,73.1954061814
707,2019-09-03,72.411995977
708,2018-12-28,70.0414702287
709,2018-01-25,63.5649230273
710,2018-08-17,70.1602142042
711,2019-03-11,69.8568125222
712,2019-05-06,69.4102151978
713,2018-04-20,66.1223495004
714,2018-01-15,63.5175531482
715,2019-02-05,71.6444891885
716,2018-08-27,70.1650477091
717,2018-06-11,67.4283290925
718,2020-11-27,74.066012414
719,2017-08-07,63.8302110706
720,2020-06-04,75.4951111111
721,2020-05-13,75.2942528736
722,2020-10-19,73.3088672041
723,2017-08-16,64.1900085397
724,2018-04-10,64.9927190357
725,2018-02-09,64.3726065347
726,2017-10-27,65.0598879793
727,2017-09-06,64.1123962786
728,2018-04-06,64.9673042341
729,2020-07-09,74.982807265
730,2018-02-08,64.2927685276
731,2018-12-07,70.8020402779
732,2018-06-05,67.1498929336
733,2020-03-06,73.7350035286
734,2018-06-01,67.1128631417
735,2018-05-11,67.3370202782
736,2017-09-28,65.473764646
737,2020-09-29,73.7267133823
738,2017-11-07,64.9948105864
739,2017-08-09,63.8598584946
740,2018-02-20,64.8322528363
741,2018-01-24,63.6925194301
742,2017-11-01,64.5995521874
743,2018-12-03,70.4121073067
744,2020-12-07,73.9021273087
745,2018-05-29,67.8369960201
746,2018-05-24,68.3773874488
747,2018-09-17,72.5177791106
748,2017-10-12,65.0300269906
749,2019-04-15,69.4249977902
750,2020-06-10,75.5191208791
751,2018-04-23,66.4197581304
752,2020-07-28,74.8604591619
