,Date,Delhi,Mumbai,Chennai,Kolkata,Delhi_pc,Mumbai_pc,Chennai_pc,Kolkata_pc
38,2020-07-29,81.94,80.11,78.86,77.04,50.38,33.74,37.36,35.99
39,2020-07-28,81.94,80.11,78.86,77.04,50.38,33.74,37.36,35.99
40,2020-07-27,81.94,80.11,78.86,77.04,50.38,33.74,37.36,35.99
41,2020-07-26,81.94,80.11,78.86,77.04,50.38,33.74,37.36,35.99
42,2020-07-25,81.79,79.97,78.73,76.91,50.1,33.51,37.14,35.76
43,2020-07-24,81.64,79.83,78.6,76.77,49.83,33.27,36.91,35.52
44,2020-07-23,81.64,79.83,78.6,76.77,49.83,33.27,36.91,35.52
45,2020-07-22,81.64,79.83,78.6,76.77,49.83,33.27,36.91,35.52
46,2020-07-21,81.64,79.83,78.6,76.77,49.83,33.27,36.91,35.52
47,2020-07-20,81.64,79.83,78.6,76.77,49.83,33.27,36.91,35.52
48,2020-07-19,81.52,79.71,78.5,76.67,49.61,33.07,36.74,35.34
49,2020-07-18,81.52,79.71,78.5,76.67,49.61,33.07,36.74,35.34
50,2020-07-17,81.35,79.56,78.37,76.49,49.29,32.82,36.51,35.02
51,2020-07-16,81.18,79.4,78.22,76.33,48.98,32.55,36.25,34.74
52,2020-07-15,81.18,79.4,78.22,76.33,48.98,32.55,36.25,34.74
53,2020-07-14,81.05,79.27,78.11,76.17,48.74,32.34,36.06,34.46
54,2020-07-13,81.05,79.27,78.11,76.17,48.74,32.34,36.06,34.46
55,2020-07-12,80.94,79.17,78.01,76.05,48.54,32.17,35.88,34.25
56,2020-07-11,80.78,79.05,77.91,75.89,48.25,31.97,35.71,33.96
57,2020-07-10,80.78,79.05,77.91,75.89,48.25,31.97,35.71,33.96
58,2020-07-09,80.78,79.05,77.91,75.89,48.25,31.97,35.71,33.96
2,2020-07-08,80.78,79.05,77.91,75.89,48.25,31.97,35.71,33.96
4,2020-07-06,80.53,78.83,77.72,75.64,47.79,31.6,35.38,33.52
5,2020-07-05,80.53,78.83,77.72,75.64,47.79,31.6,35.38,33.52
6,2020-07-04,80.53,78.83,77.72,75.64,47.79,31.6,35.38,33.52
7,2020-07-03,80.53,78.83,77.72,75.64,47.79,31.6,35.38,33.52
8,2020-07-02,80.53,78.83,77.72,75.64,47.79,31.6,35.38,33.52
9,2020-07-01,80.53,78.83,77.72,75.64,47.79,31.6,35.38,33.52
10,2020-06-30,80.53,78.83,77.72,75.64,47.79,31.6,35.38,33.52
11,2020-06-29,80.53,78.83,77.72,75.64,47.79,31.6,35.38,33.52
12,2020-06-28,80.4,78.71,77.61,75.52,47.55,31.4,35.19,33.31
13,2020-06-27,80.4,78.71,77.61,75.52,47.55,31.4,35.19,33.31
14,2020-06-26,80.19,78.51,77.44,75.34,47.16,31.07,34.89,32.99
15,2020-06-25,80.02,78.34,77.29,75.18,46.85,30.78,34.63,32.71
16,2020-06-24,79.88,78.22,77.17,75.06,46.6,30.58,34.42,32.5
17,2020-06-23,79.4,77.76,76.77,74.63,45.71,29.82,33.72,31.74
18,2020-06-22,78.85,77.24,76.3,74.14,44.71,28.95,32.9,30.87
19,2020-06-21,78.27,76.69,75.8,73.61,43.64,28.03,32.03,29.94
20,2020-06-20,77.67,76.11,75.29,73.07,42.54,27.06,31.14,28.98
21,2020-06-19,77.06,75.53,74.77,72.53,41.42,26.09,30.24,28.03
22,2020-06-18,76.43,74.93,74.23,71.96,40.26,25.09,29.3,27.03
23,2020-06-17,75.79,74.32,73.69,71.38,39.09,24.07,28.36,26.0
24,2020-06-16,75.19,73.75,73.17,70.84,37.99,23.12,27.45,25.05
25,2020-06-15,74.62,73.21,72.69,70.33,36.94,22.22,26.62,24.15
26,2020-06-14,74.03,72.64,72.18,69.8,35.86,21.27,25.73,23.21
27,2020-06-13,73.39,72.03,71.64,69.23,34.69,20.25,24.79,22.21
28,2020-06-12,72.81,71.48,71.14,68.7,33.62,19.33,23.92,21.27
29,2020-06-11,72.22,70.92,70.64,68.17,32.54,18.4,23.04,20.34
30,2020-06-10,71.62,70.35,70.13,67.63,31.44,17.45,22.16,19.38
31,2020-06-09,71.17,69.92,69.74,67.23,30.61,16.73,21.48,18.68
32,2020-06-08,70.59,69.37,69.25,66.71,29.55,15.81,20.62,17.76
33,2020-06-07,69.99,68.79,68.74,66.17,28.45,14.84,19.74,16.8
34,2020-06-06,69.39,68.21,68.22,65.62,27.34,13.87,18.83,15.83
35,2020-06-05,69.39,68.21,68.22,65.62,27.34,13.87,18.83,15.83
36,2020-06-04,69.39,68.21,68.22,65.62,27.34,13.87,18.83,15.83
37,2020-06-03,69.39,68.21,68.22,65.62,27.34,13.87,18.83,15.83
38,2020-06-02,69.39,68.21,68.22,65.62,27.34,13.87,18.83,15.83
39,2020-06-01,69.39,68.21,68.22,65.62,27.34,13.87,18.83,15.83
40,2020-05-31,69.39,66.21,68.22,65.62,27.34,10.53,18.83,15.83
