,products,month,average_cons,year,merge_col,type,Delhi,Mumbai,Chennai,Kolkata,mean_price,import_bbl_usd,INR,price_rs_lit_crude,Date
16,MS,December,2705.78,2020,2020 December,Petrol,83.53677419354841,90.17290322580646,86.35806451612909,85.02322580645165,86.27274193548386,49.84,73.63,23.07999496855346,2020-12-31
17,MS,January,2610.13,2021,2021 January,Petrol,84.91400000000006,91.51866666666668,87.59000000000005,86.35633333333337,87.59474999999998,54.79,73.12,25.196508176100632,2021-01-31
18,MS,May,1770.53,2020,2020 May,Petrol,71.03733333333335,76.30999999999996,75.21399999999997,73.29999999999998,73.96533333333332,30.61,75.67,14.567664779874214,2020-05-31
19,MS,April,972.99,2020,2020 April,Petrol,69.58999999999997,76.30999999999996,72.27999999999999,73.29999999999998,72.86999999999995,19.9,76.22,9.539484276729558,2020-04-30
20,HSD,September,6075.38,2017,2017 September,Diesel,58.34758620689656,61.97965517241378,61.44758620689654,61.004482758620675,60.694827586206884,54.52,64.46,22.102888050314466,2017-09-30
21,HSD,February,6539.62,2018,2018 February,Diesel,63.23148148148149,67.33777777777777,66.67592592592594,65.90444444444444,65.78740740740739,63.54,64.44,25.751683018867922,2018-02-28
22,HSD,January,6653.16,2018,2018 January,Diesel,61.89483870967743,65.85451612903226,65.24645161290323,64.55709677419355,64.38822580645162,67.06,63.65,26.845088050314462,2018-01-31
23,HSD,December,7119.76,2017,2017 December,Diesel,58.71366666666667,61.80533333333332,61.84166666666666,61.373666666666665,60.93358333333334,62.29,64.27,25.178479874213835,2017-12-31
24,HSD,November,7270.45,2017,2017 November,Diesel,58.255172413793076,60.88482758620692,61.351034482758635,60.91517241379311,60.351551724137934,61.32,64.85,25.010075471698112,2017-11-30
25,HSD,October,6547.37,2017,2017 October,Diesel,57.277096774193545,60.16612903225807,60.30419354838709,59.93709677419354,59.421129032258065,56.06,65.07,22.942290566037734,2017-10-31
26,HSD,August,5919.42,2017,2017 August,Diesel,56.85387096774192,60.389677419354804,59.84580645161289,59.50548387096775,59.14870967741935,50.63,63.99,20.37618679245283,2017-08-31
27,HSD,March,7348.95,2018,2018 March,Diesel,63.06064516129034,67.15516129032258,66.49387096774196,65.75064516129032,65.6150806451613,63.8,65.05,26.101823899371066,2018-03-31
28,HSD,June,6799.54,2017,2017 June,Diesel,53.841333333333324,59.214000000000006,56.714666666666666,55.99733333333333,56.441833333333335,46.56,64.52,18.893403773584904,2017-06-30
29,HSD,July,6302.27,2017,2017 July,Diesel,54.56333333333334,58.70466666666665,57.502,57.159000000000006,56.98224999999999,47.86,64.46,19.40286540880503,2017-07-31
30,MS,August,2191.34,2017,2017 August,Petrol,67.7709677419355,76.90580645161289,70.20548387096773,70.6083870967742,71.37266129032258,50.63,63.99,20.37618679245283,2017-08-31
